Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm)
663.0,957.0,981.0
664.0,967.0,951.0
665.0,947.0,961.0
666.0,947.0,951.0
667.0,967.0,961.0
668.0,967.0,1001.0
669.0,986.0,961.0
670.0,938.0,981.0
671.0,947.0,961.0
672.0,938.0,961.0
673.0,928.0,951.0
674.0,967.0,961.0
675.0,967.0,981.0
676.0,947.0,981.0
677.0,977.0,961.0
678.0,938.0,961.0
679.0,928.0,961.0
680.0,957.0,961.0
681.0,947.0,971.0
682.0,977.0,981.0
683.0,977.0,961.0
684.0,967.0,951.0
685.0,928.0,951.0
686.0,938.0,961.0
687.0,947.0,951.0
688.0,967.0,961.0
689.0,967.0,981.0
690.0,947.0,971.0
691.0,928.0,961.0
692.0,938.0,961.0
693.0,938.0,951.0
694.0,928.0,961.0
695.0,938.0,981.0
696.0,977.0,971.0
697.0,967.0,961.0
698.0,938.0,961.0
699.0,938.0,951.0
700.0,928.0,971.0
701.0,947.0,961.0
702.0,938.0,971.0
703.0,947.0,971.0
704.0,947.0,961.0
705.0,918.0,961.0
706.0,938.0,951.0
707.0,928.0,971.0
708.0,967.0,961.0
709.0,947.0,981.0
710.0,967.0,961.0
711.0,928.0,961.0
712.0,947.0,941.0
713.0,918.0,961.0
714.0,967.0,971.0
715.0,938.0,981.0
716.0,967.0,981.0
717.0,947.0,961.0
718.0,918.0,961.0
719.0,938.0,931.0
720.0,938.0,961.0
721.0,947.0,971.0
722.0,928.0,1001.0
723.0,967.0,961.0
724.0,928.0,961.0
725.0,928.0,951.0
726.0,928.0,951.0
727.0,928.0,981.0
728.0,957.0,961.0
729.0,957.0,981.0
730.0,957.0,961.0
731.0,918.0,961.0
732.0,928.0,961.0
733.0,947.0,961.0
734.0,938.0,981.0
735.0,947.0,981.0
736.0,967.0,961.0
737.0,938.0,961.0
738.0,928.0,941.0
739.0,928.0,951.0
740.0,947.0,961.0
741.0,947.0,981.0
742.0,938.0,971.0
743.0,928.0,971.0
744.0,898.0,961.0
745.0,918.0,941.0
746.0,928.0,961.0
747.0,947.0,961.0
748.0,938.0,971.0
749.0,928.0,981.0
750.0,928.0,951.0
751.0,928.0,951.0
752.0,918.0,951.0
753.0,957.0,971.0
754.0,928.0,971.0
755.0,938.0,971.0
756.0,938.0,961.0
757.0,938.0,941.0
758.0,928.0,961.0
759.0,947.0,961.0
760.0,957.0,971.0
761.0,947.0,981.0
762.0,938.0,951.0
763.0,928.0,961.0
764.0,938.0,951.0
765.0,918.0,971.0
766.0,938.0,991.0
767.0,918.0,981.0
768.0,928.0,971.0
769.0,928.0,931.0
770.0,909.0,961.0
771.0,928.0,971.0
772.0,938.0,971.0
773.0,928.0,961.0
774.0,909.0,961.0
775.0,898.0,961.0
776.0,918.0,951.0
777.0,928.0,961.0
778.0,947.0,971.0
779.0,928.0,981.0
780.0,947.0,971.0
781.0,928.0,951.0
782.0,898.0,961.0
783.0,898.0,961.0
784.0,918.0,971.0
785.0,947.0,971.0
786.0,938.0,971.0
787.0,909.0,961.0
788.0,898.0,951.0
789.0,909.0,951.0
790.0,909.0,981.0
791.0,928.0,981.0
792.0,928.0,981.0
793.0,909.0,971.0
794.0,909.0,951.0
795.0,918.0,951.0
796.0,898.0,981.0
797.0,947.0,971.0
798.0,947.0,971.0
799.0,918.0,971.0
800.0,928.0,951.0
801.0,909.0,961.0
802.0,918.0,971.0
803.0,918.0,971.0
804.0,928.0,981.0
805.0,918.0,961.0
806.0,918.0,961.0
807.0,898.0,951.0
808.0,898.0,961.0
809.0,928.0,971.0
810.0,938.0,981.0
811.0,928.0,961.0
812.0,918.0,941.0
813.0,889.0,951.0
814.0,898.0,961.0
815.0,928.0,971.0
816.0,918.0,991.0
817.0,918.0,971.0
818.0,898.0,961.0
819.0,889.0,961.0
820.0,898.0,941.0
821.0,898.0,971.0
822.0,918.0,961.0
823.0,928.0,961.0
824.0,898.0,961.0
825.0,889.0,961.0
826.0,918.0,951.0
827.0,928.0,961.0
828.0,928.0,961.0
829.0,918.0,981.0
830.0,909.0,961.0
831.0,898.0,961.0
832.0,898.0,961.0
833.0,918.0,961.0
834.0,918.0,961.0
835.0,928.0,981.0
836.0,918.0,961.0
837.0,898.0,961.0
838.0,898.0,951.0
839.0,928.0,941.0
840.0,928.0,971.0
841.0,918.0,981.0
842.0,928.0,961.0
843.0,909.0,961.0
844.0,898.0,951.0
845.0,898.0,951.0
846.0,898.0,971.0
847.0,918.0,981.0
848.0,928.0,971.0
849.0,928.0,961.0
850.0,898.0,951.0
851.0,918.0,941.0
852.0,918.0,951.0
853.0,928.0,981.0
854.0,928.0,971.0
855.0,898.0,961.0
856.0,918.0,941.0
857.0,898.0,951.0
858.0,918.0,941.0
859.0,898.0,971.0
860.0,918.0,971.0
861.0,928.0,961.0
862.0,879.0,961.0
863.0,898.0,931.0
864.0,909.0,941.0
865.0,898.0,981.0
866.0,928.0,961.0
867.0,898.0,981.0
868.0,898.0,961.0
869.0,879.0,951.0
870.0,898.0,941.0
871.0,918.0,961.0
872.0,928.0,961.0
873.0,928.0,971.0
874.0,918.0,961.0
875.0,869.0,951.0
876.0,869.0,941.0
877.0,889.0,961.0
878.0,918.0,961.0
879.0,898.0,981.0
880.0,898.0,961.0
881.0,898.0,951.0
882.0,898.0,951.0
883.0,898.0,951.0
884.0,909.0,951.0
885.0,918.0,981.0
886.0,918.0,961.0
887.0,898.0,961.0
888.0,898.0,941.0
889.0,898.0,941.0
890.0,879.0,961.0
891.0,898.0,971.0
892.0,898.0,981.0
893.0,928.0,961.0
894.0,898.0,961.0
895.0,898.0,941.0
896.0,898.0,961.0
897.0,918.0,961.0
898.0,928.0,971.0
899.0,898.0,981.0
900.0,898.0,961.0
901.0,859.0,951.0
902.0,898.0,931.0
903.0,898.0,961.0
904.0,909.0,971.0
905.0,909.0,961.0
906.0,909.0,971.0
907.0,909.0,951.0
908.0,898.0,951.0
909.0,898.0,931.0
910.0,879.0,961.0
911.0,898.0,961.0
912.0,918.0,961.0
913.0,909.0,971.0
914.0,898.0,951.0
915.0,889.0,951.0
916.0,898.0,931.0
917.0,879.0,961.0
918.0,898.0,961.0
919.0,889.0,971.0
920.0,928.0,961.0
921.0,879.0,961.0
922.0,869.0,931.0
923.0,898.0,931.0
924.0,889.0,951.0
925.0,869.0,961.0
926.0,889.0,981.0
927.0,918.0,961.0
928.0,898.0,961.0
929.0,879.0,951.0
930.0,859.0,951.0
931.0,898.0,941.0
932.0,889.0,961.0
933.0,898.0,971.0
934.0,918.0,971.0
935.0,898.0,961.0
936.0,859.0,951.0
937.0,869.0,951.0
938.0,889.0,961.0
939.0,898.0,971.0
940.0,898.0,971.0
941.0,889.0,951.0
942.0,898.0,951.0
943.0,879.0,941.0
944.0,889.0,931.0
945.0,898.0,961.0
946.0,909.0,961.0
947.0,918.0,961.0
948.0,879.0,961.0
949.0,869.0,951.0
950.0,859.0,941.0
951.0,859.0,951.0
952.0,918.0,951.0
953.0,918.0,961.0
954.0,909.0,961.0
955.0,898.0,941.0
956.0,869.0,931.0
957.0,869.0,931.0
958.0,869.0,951.0
959.0,889.0,951.0
960.0,909.0,961.0
961.0,869.0,961.0
962.0,850.0,961.0
963.0,850.0,951.0
964.0,859.0,951.0
965.0,869.0,961.0
966.0,909.0,961.0
967.0,909.0,961.0
968.0,869.0,951.0
969.0,898.0,931.0
970.0,859.0,931.0
971.0,859.0,941.0
972.0,898.0,961.0
973.0,898.0,971.0
974.0,889.0,971.0
975.0,898.0,941.0
976.0,850.0,951.0
977.0,869.0,931.0
978.0,898.0,941.0
979.0,889.0,961.0
980.0,898.0,961.0
981.0,898.0,951.0
982.0,879.0,961.0
983.0,859.0,951.0
